index,title,url,author,contain,subject,abstract
2023-10-20 Physics New submissions 1,"A Novel Room-Based Epidemic Model: Quarantine, Testing, and Vaccination  Strategies",https://arxiv.org/abs/2310.12171,"Sourin Chatterjee, Ahad N. Zehmakan, Sujay Rastogi",New submissions,Physics and Society (physics.soc-ph),"Epidemic outbreaks pose significant challenges to public health and socio-economic stability, necessitating a comprehensive understanding of disease transmission dynamics and effective control strategies. This article discusses the limitations of traditional compartmental and network-based models and, inspired by the opinion formation models, introduces a room-based model that incorporates social gatherings and intuitive quarantine measures. Through simulations and analysis, we examine the impact of various model parameters, and confinement measures like quarantine and preventive measures like testing, and vaccination on disease spread. Additionally, we explore centrality-based testing and immunization strategies, demonstrating their effectiveness in reducing the spread of diseases compared to a random approach. Finally, we propose a combined strategy, that outperforms the existing strategies. It takes both global and local properties of the network structure into account, highlighting the potential for integrated control measures in epidemic management. This research not only contributes to a deeper understanding of epidemic models, but also provides insights into devising successful intervention strategies, including quarantine measures, testing methodologies, and vaccine programs to combat emerging epidemics and pandemics "
2023-10-20 Physics New submissions 2,A Traffic Control Framework for Uncrewed Aircraft Systems,https://arxiv.org/abs/2310.12174,"Ananay Vikram Gupta, Aaditya Prakash Kattekola, Ansh Vikram Gupta, Dacharla Venkata Abhiram, Kamesh Namuduri, Ravichandran Subramanian",New submissions,"Physics and Society (physics.soc-ph); Computational Engineering, Finance, and Science (cs.CE); Systems and Control (eess.SY)","The exponential growth of Advanced Air Mobility (AAM) services demands assurances of safety in the airspace. This research a Traffic Control Framework (TCF) for developing digital flight rules for Uncrewed Aircraft System (UAS) flying in designated air corridors. The proposed TCF helps model, deploy, and test UAS control, agents, regardless of their hardware configurations. This paper investigates the importance of digital flight rules in preventing collisions in the context of AAM. TCF is introduced as a platform for developing strategies for managing traffic towards enhanced autonomy in the airspace. It allows for assessment and evaluation of autonomous navigation, route planning, obstacle avoidance, and adaptive decision making for UAS. It also allows for the introduction and evaluation of advance technologies Artificial Intelligence (AI) and Machine Learning (ML) in a simulation environment before deploying them in the real world. TCF can be used as a tool for comprehensive UAS traffic analysis, including KPI measurements. It offers flexibility for further testing and deployment laying the foundation for improved airspace safety - a vital aspect of UAS technological advancement. Finally, this papers demonstrates the capabilities of the proposed TCF in managing UAS traffic at intersections and its impact on overall traffic flow in air corridors, noting the bottlenecks and the inverse relationship safety and traffic volume. "
2023-10-20 Physics New submissions 3,Anti-Black racism workshop during the Vera C. Rubin Observatory virtual  2021 Project and Community Workshop,https://arxiv.org/abs/2310.12177,"Andrés A. Plazas Malagón, Federica Bianco, Ranpal Gill, Robert D. Blum, Rosaria (Sara)Bonito, Wil O'Mullane, Alsyha Shugart, Rachel Street, Aprajita Verma",New submissions,Physics and Society (physics.soc-ph); Instrumentation and Methods for Astrophysics (astro-ph.IM),"Systemic racism is a ubiquitous theme in societies worldwide and plays a central role in shaping our economic, social, and academic institutions. The Vera C. Rubin Observatory is a major US ground-based facility based in Chile with international participation. The Observatory is an example of excellence and will deliver the largest survey of the sky ever attempted. Rubin's full scientific and social potential can not be attained without addressing systemic racism and associated barriers to equity, diversity, and inclusion (EDI). During Rubin's 2021 virtual Project and Community Workshop (PCW), the annual Rubin community-based meeting, an anti-Black racism workshop took place, facilitated by 'The BIPOC Project' organization. About 60 members from different parts of the Rubin ecosystem participated. We describe the motivation, organization, challenges, outcomes, and near- and long-term goals of this workshop. "
2023-10-20 Physics New submissions 4,Amplification of electromagnetic waves by a rotating body,https://arxiv.org/abs/2310.12191,"M.C. Braidotti, A. Vinante, M. Cromb, A. Sandakumar, D. Faccio, H. Ulbricht",New submissions,Classical Physics (physics.class-ph),"In 1971, Zel'dovich predicted the amplification of electromagnetic (EM) waves scattered by a rotating metallic cylinder, gaining mechanical rotational energy from the body. Since then, this phenomenon has been believed to be unobservable with electromagnetic fields due to technological difficulties in meeting the condition of amplification, that is, the cylinder must rotate faster than the frequency of the incoming radiation. Here, we show that this key piece of fundamental physics has been hiding in plain sight for the past 60 years in the physics of induction generators. We measure the amplification of an electromagnetic field, generated by a toroid LC-circuit, scattered by an aluminium cylinder spinning in the toroid gap. We show that when the Zel'dovich condition is met, the resistance induced by the cylinder becomes negative implying amplification of the incoming EM waves. These results reveal the connection between the concept of induction generators and the physics of this fundamental effect that was believed to be unobservable, and hence open new prospects towards testing the Zel'dovich mechanism in the quantum regime, as well as related quantum friction effects. "
2023-10-20 Physics New submissions 5,Fast quasi-centroid molecular dynamics for water and ice,https://arxiv.org/abs/2310.12246,"Joseph E. Lawrence, Annina Z. Lieberherr, Theo Fletcher, David E. Manolopoulos",New submissions,Chemical Physics (physics.chem-ph),"We describe how the fast quasi-centroid molecular dynamics (f-QCMD) method can be applied to condensed phase systems by approximating the quasi-centroid potential of mean force as a sum of inter- and intra-molecular corrections to the classical interaction potential. The corrections are found by using a regularised iterative Boltzmann inversion procedure to recover the inter- and intra-molecular quasi-centroid distribution functions obtained from a path integral molecular dynamics simulation. The resulting methodology is found to give good agreement with a previously published QCMD dipole absorption spectrum for liquid water, and satisfactory agreement for ice. It also gives good agreement with spectra from a recent implementation of CMD that uses a pre-computed elevated temperature potential of mean force. Modern centroid molecular dynamics methods therefore appear to be reaching a consensus regarding the impact of nuclear quantum effects on the vibrational spectra of water and ice. "
2023-10-20 Physics New submissions 6,Multi-domain analysis and prediction of the light emitted by an  inductively coupled plasma jet,https://arxiv.org/abs/2310.12292,"Lorenzo Capponi, Alberto Padovan, Gregory S. Elliott, Marco Panesi, Daniel J. Bodony, Francesco Panerai",New submissions,Plasma Physics (physics.plasm-ph); High Energy Physics - Experiment (hep-ex),"Inductively coupled plasma wind tunnels are crucial for replicating hypersonic flight conditions in ground testing. Achieving the desired conditions (e.g., stagnation-point heat fluxes and enthalpies during atmospheric reentry) requires a careful selection of operating inputs, such as mass flow, gas composition, nozzle geometry, torch power, chamber pressure, and probing location along the plasma jet. The study presented herein focuses on the influence of the torch power and chamber pressure on the plasma jet dynamics within the 350 kW Plasmatron X ICP facility at the University of Illinois at Urbana-Champaign. A multi-domain analysis of the jet behavior under selected power-pressure conditions is presented in terms of emitted light measurements collected using high-speed imaging. We then use Gaussian Process Regression to develop a data-informed learning framework for predicting Plasmatron X jet profiles at unseen pressure and power test conditions. Understanding the physics behind the dynamics of high-enthalpy flows, particularly plasma jets, is the key to properly design material testing, perform diagnostics, and develop accurate simulation models "
2023-10-20 Physics New submissions 7,Micro-seismic Elastic Reflection Full Waveform Inversion with An  Equivalent Source,https://arxiv.org/abs/2310.12323,"Hanchen Wang, Qiang Guo, Tariq Alkhalifah",New submissions,Geophysics (physics.geo-ph),"In micro-seismic event measurements, pinpointing the passive source's exact spatial and temporal location is paramount. This research advocates for the combined use of both P- and S-wave data, captured by geophone monitoring systems, to improve source inversion accuracy. Drawing inspiration from the secondary source concept in Elastic Reflection Full Waveform Inversion (ERFWI), we introduce an equivalent source term. This term combines source functions and source images. Our optimization strategy iteratively refines the spatial locations of the source, its temporal functions, and associated velocities using a full waveform inversion framework. Under the premise of an isotropic medium with consistent density, the source is defined by two spatial and three temporal components. This offers a nuanced source representation in contrast to the conventional seismic moment tensor. To address gradient computation, we employ the adjoint-state method. However, we encountered pronounced non-linearity in waveform inversion of micro-seismic events, primarily due to the unknown source origin time, resulting in cycle skipping challenges. To counteract this, we devised an objective function that is decoupled from the source origin time. This function is formulated by convolving reference traces with both observed and predicted data. Through the concurrent inversion of the source image, source time function, and velocity model, our method offers precise estimations of these parameters, as validated by a synthetic 2D example based on a modified Marmousi model. This nested inversion approach promises enhanced accuracy in determining the source image, time function, and velocity model. "
2023-10-20 Physics New submissions 8,Improved prediction of molecular response to pulling by combining force  tempering with replica exchange methods,https://arxiv.org/abs/2310.12329,"Yuvraj Singh, Glen M. Hocky",New submissions,Chemical Physics (physics.chem-ph); Statistical Mechanics (cond-mat.stat-mech); Biological Physics (physics.bio-ph),"Small mechanical forces play important functional roles in many crucial cellular processes, including in the dynamical behavior of the cytoskeleton and in the regulation of osmotic pressure through membrane-bound proteins. Molecular simulations offer the promise of being able to design the behavior of proteins that sense and respond to these forces. However, it is difficult to predict and identify the effect of the relevant piconewton (pN) scale forces due to their small magnitude. Previously, we introduced the Infinite Switch Simulated Tempering in Force (FISST) method which allows one to estimate the effect of a range of applied forces from a single molecular dynamics simulation, and also demonstrated that FISST additionally accelerates sampling of a molecule's conformational landscape. For some problems, we find that this acceleration is not sufficient to capture all relevant conformational fluctuations, and hence here we demonstrate that FISST can be combined with either temperature replica exchange or solute tempering approaches to produce a hybrid method that enables more robust prediction of the effect of small forces on molecular systems. "
2023-10-20 Physics New submissions 9,A Novel Approach to Interface High-Q Fabry-Pérot Resonators with  Photonic Circuits,https://arxiv.org/abs/2310.12332,"Haotian Cheng, Naijun Jin, Zhaowei Dai, Chao Xiang, Joel Guo, Yishu Zhou, Scott A. Diddams, Franklyn Quinlan, John Bowers, Owen Miller, Peter Rakich",New submissions,Optics (physics.optics),"The unique benefits of Fabry-P\'erot resonators as frequency-stable reference cavities and as an efficient interface between atoms and photons make them an indispensable resource for emerging photonic technologies. To bring these performance benefits to next-generation communications, computation, and timekeeping systems, it will be necessary to develop strategies to integrate compact Fabry-P\'erot resonators with photonic integrated circuits. In this paper, we demonstrate a novel reflection cancellation circuit that utilizes a numerically optimized multi-port polarization-splitting grating coupler to efficiently interface high-finesse Fabry-P\'erot resonators with a silicon photonic circuit. This circuit interface produces spatial separation of the incident and reflected waves, as required for on-chip Pound-Drever-Hall frequency locking, while also suppressing unwanted back reflections from the Fabry-P\'erot resonator. Using inverse design principles, we design and fabricate a polarization-splitting grating coupler that achieves 55% coupling efficiency. This design realizes an insertion loss of 5.8 dB for the circuit interface and more than 9 dB of back reflection suppression, and we demonstrate the versatility of this system by using it to interface several reflective off-chip devices. "
2023-10-20 Physics New submissions 10,Tracking electricity losses and their perceived causes using nighttime  light and social media,https://arxiv.org/abs/2310.12346,"Samuel W Kerber, Nicholas A Duncan, Guillaume F LHer, Morgan Bazilian, Chris Elvidge, Mark R Deinert",New submissions,Physics and Society (physics.soc-ph); Machine Learning (cs.LG); Social and Information Networks (cs.SI),"Urban environments are intricate systems where the breakdown of critical infrastructure can impact both the economic and social well-being of communities. Electricity systems hold particular significance, as they are essential for other infrastructure, and disruptions can trigger widespread consequences. Typically, assessing electricity availability requires ground-level data, a challenge in conflict zones and regions with limited access. This study shows how satellite imagery, social media, and information extraction can monitor blackouts and their perceived causes. Night-time light data (in March 2019 for Caracas, Venezuela) is used to indicate blackout regions. Twitter data is used to determine sentiment and topic trends, while statistical analysis and topic modeling delved into public perceptions regarding blackout causes. The findings show an inverse relationship between nighttime light intensity. Tweets mentioning the Venezuelan President displayed heightened negativity and a greater prevalence of blame-related terms, suggesting a perception of government accountability for the outages. "
